event,classification,gender,world_record,world_record_display,paralympics_gold,paralympics_bronze,paralympics_8th_place,paralympics_semi_qualifying,paralympics_heat_qualifying,wc_gold,wc_bronze,wc_8th_place,wc_semi_qualifying,wc_heat_qualifying,asian_gold,asian_bronze,asian_8th_place,saudi_best,saudi_best_athlete,saudi_world_rank,gap_to_para_gold,gap_to_para_bronze,gap_to_para_8th,gap_to_world_record,yearly_trend,total_results
100m,T54,M,,,13.733333333333334,14.066666666666668,14.84,,,13.878333333333336,14.225,14.495000000000001,,19.03,,,,13.98,Albaraa Alqarni,,0.24666666666666615,-0.08666666666666778,-0.8599999999999994,,-0.04999999999999982,64
100m,T53,M,,,14.746666666666664,15.343333333333334,15.379999999999999,,,14.7525,15.4075,15.67,,17.33,,,,14.48,Abdulrahman Alqurashi,,-0.26666666666666394,-0.8633333333333333,-0.8999999999999986,,0.11000000000000032,49
100m,T12,M,,,10.811250000000001,11.665000000000001,,,10.96,10.770000000000001,11.298333333333334,,,13.37,,,,12.04,Mohammed Alsalem,,1.228749999999998,0.3749999999999982,,,-0.0600000000000005,53
100m,T11,M,,,11.158181818181818,11.563749999999999,,,11.07,11.3775,11.643333333333333,,,11.9,,,,12.46,Alaida Waleed,,1.3018181818181827,0.896250000000002,,,0.08999999999999986,49
100m,T13,M,,,10.71875,10.931999999999999,11.08,,11.1,10.695714285714287,11.175714285714283,11.425,,12.0,,,,12.8,Osama Masrhia,,2.0812500000000007,1.868000000000002,1.7200000000000006,,-0.20500000000000007,72
100m,T64,M,,,10.708,10.85,11.825,,10.88,10.756250000000001,11.21,12.45,,12.15,,,,13.25,Abdulaziz Alshamani,,2.542,2.4000000000000004,1.4250000000000007,,0.009999999999999787,59
100m,T37,M,,,11.15,11.463333333333333,11.94,,10.97,11.483333333333334,11.82,12.44,,12.6,,,,11.28,Ali Alnakhli,,0.129999999999999,-0.18333333333333357,-0.6600000000000001,,0.004999999999999893,37
100m,T44,M,,,10.822000000000001,11.1975,12.03,,11.12,11.20125,11.7575,12.549999999999999,,12.68,,,,10.94,Naif Almasrahi,,0.11799999999999855,-0.2575000000000003,-1.0899999999999999,,0.009999999999999787,77
100m,T34,M,,,14.983333333333334,15.376666666666665,15.67,,,15.141666666666667,15.411666666666669,16.13,,16.38,,,,17.2,Ahmed Alalwani,,2.216666666666665,1.8233333333333341,1.5299999999999994,,0.09999999999999964,56
100m,T47,M,,,10.656666666666668,10.68,10.95,,11.14,10.835,11.055,11.175,,11.62,,,,,,,,,,,0.054999999999999716,41
100m,T36,M,,,11.863333333333335,12.14,12.56,,,12.032499999999999,12.363333333333332,13.01,,13.0,,,,,,,,,,,0.1200000000000001,42
100m,T38,M,,,10.64,,11.48,,,10.98,11.236666666666666,11.46,,12.44,,,,12.26,Saud Alwani,,1.6199999999999992,,0.7799999999999994,,0.03500000000000014,33
100m,T46,M,,,10.75,10.9575,12.9,,11.07,11.01,11.113333333333335,,,11.81,,,,11.34,Saeed Alkhaldi,,0.5899999999999999,0.3825000000000003,-1.5600000000000005,,53.83,26
100m,T51,M,,,17.435,17.839999999999996,16.915,,,18.434,18.798333333333336,18.45,,20.4,,,,,,,,,,,-0.4150000000000009,60
100m,T45,M,,,,,11.56,,,,11.3,,,11.81,,,,,,,,,,,0.054999999999999716,12
100m,T43,M,,,11.01,11.3,,,10.9,11.432500000000001,11.803333333333333,12.52,,12.57,,,,11.7,Nour Alsana,,0.6899999999999995,0.3999999999999986,,,0.26500000000000057,43
100m,T52,M,,,16.703333333333333,17.486666666666668,17.91,,,16.976666666666667,17.566666666666666,18.45,,20.4,,,,22.46,Munahi Bin Libdah,,5.756666666666668,4.973333333333333,4.550000000000001,,0.05999999999999872,63
100m,T35,M,,,11.43,11.79,11.945,,,11.71,11.675,12.344999999999999,,12.89,,,,14.4,Ahmed Adawi,,2.9700000000000006,2.610000000000001,2.455,,-0.08499999999999996,32
100m,T33,M,,,,15.469999999999999,15.67,,,15.396666666666667,15.716666666666669,16.13,,20.51,,,,,,,,,,,0.004999999999999005,32
100m,T63,M,,,12.073333333333332,12.160000000000002,,,,12.078,12.459999999999999,14.59,,23.51,,,,15.29,Ali Alnasser,,3.216666666666667,3.1299999999999972,,,0.01499999999999968,45
100m,T62,M,,,10.719999999999999,10.905,11.22,,10.79,10.8925,11.4,12.45,,12.15,,,,,,,,,,,0.07500000000000018,47
100m,T42,M,,,12.073333333333332,12.160000000000002,12.51,,,12.155,12.476666666666665,14.59,,14.38,,,,14.73,Abdullah Alfifi,,2.656666666666668,2.5699999999999985,2.2200000000000006,,-0.23499999999999943,33
100m,F51,M,,,,,,,,,,,,19.6,,,,,,,,,,,-0.28000000000000025,3
100m,F42,M,,,,,,,,,11.45,,,11.5,,,,15.21,Abdullah Alfifi,,,,,,0.33000000000000007,3
100m,T72,M,,,,,,,,15.0425,17.2075,18.49,,18.59,,,,,,,,,,,0.07000000000000028,23
100m,F64,M,,,,,,,,,11.45,,,11.5,,,,,,,,,,,-1.0700000000000003,3
100m,IPC,M,,,,,,,,,14.26,,,23.51,,,,,,,,,,,,5
400m,T54,M,,,45.06666666666666,45.89333333333334,48.45,,,46.17571428571428,47.144285714285715,50.02333333333333,,56.73,,,,46.67,Albaraa Alqarni,,1.6033333333333388,0.7766666666666637,-1.7800000000000011,,-0.04999999999999982,73
400m,T53,M,,,46.5,49.27666666666667,52.42,,,48.89,50.13666666666666,53.18,,55.99,,,,48.96,Abdulrahman Alqurashi,,2.460000000000001,-0.31666666666667,-3.460000000000001,,0.11000000000000032,63
400m,T12,M,,,48.696666666666665,53.20333333333334,,,49.17,48.626666666666665,50.74,,,53.16,,,,57.97,Mohammed Alsalem,,9.273333333333333,4.766666666666659,,,-0.0600000000000005,30
400m,T11,M,,,51.60833333333333,53.711666666666666,,,,52.6825,54.66,,,56.67,,,,,,,,,,,0.08999999999999986,39
